Ecoregion,Stock,Area,Year,R,SSB,Landings,F,Method,Assessment_URL,source,Fref_point,StockKeyLabel,Fref,F.FMSy,Meeting_comments,Blim,Catches,biomass,Scientific_name,Species,Bref,Bref_point,B_Bref,asses_year,version,stk_updated
Black Sea,ANE,29,1970,NA,979836.82,186209.97,0.19,spict,https://www.fao.org/gfcm/data/star/en/,GFCM,Fmsy,ANE_29,NA,0.42,NA,NA,186209.97,979836.82,Engraulis encrasicolus,European anchovy,NA,Bmsy,1.53,2023,15_11_2023,new
Black Sea,ANE,29,1971,NA,1005968.21,194183.76,0.2,spict,https://www.fao.org/gfcm/data/star/en/,GFCM,Fmsy,ANE_29,NA,0.42,NA,NA,194183.76,1005968.21,Engraulis encrasicolus,European anchovy,NA,Bmsy,1.57,2023,15_11_2023,new
Black Sea,ANE,29,1972,NA,1013196.82,200344.12,0.2,spict,https://www.fao.org/gfcm/data/star/en/,GFCM,Fmsy,ANE_29,NA,0.43,NA,NA,200344.12,1013196.82,Engraulis encrasicolus,European anchovy,NA,Bmsy,1.58,2023,15_11_2023,new
Black Sea,ANE,29,1973,NA,1029610.4,220554.75,0.24,spict,https://www.fao.org/gfcm/data/star/en/,GFCM,Fmsy,ANE_29,NA,0.52,NA,NA,220554.75,1029610.4,Engraulis encrasicolus,European anchovy,NA,Bmsy,1.61,2023,15_11_2023,new
Black Sea,ANE,29,1974,NA,984504.94,293388.48,0.29,spict,https://www.fao.org/gfcm/data/star/en/,GFCM,Fmsy,ANE_29,NA,0.62,NA,NA,293388.48,984504.94,Engraulis encrasicolus,European anchovy,NA,Bmsy,1.54,2023,15_11_2023,new
Black Sea,ANE,29,1975,NA,959868.27,237332.84,0.26,spict,https://www.fao.org/gfcm/data/star/en/,GFCM,Fmsy,ANE_29,NA,0.56,NA,NA,237332.84,959868.27,Engraulis encrasicolus,European anchovy,NA,Bmsy,1.5,2023,15_11_2023,new
Black Sea,ANE,29,1976,NA,941312.32,300316.68,0.31,spict,https://www.fao.org/gfcm/data/star/en/,GFCM,Fmsy,ANE_29,NA,0.66,NA,NA,300316.68,941312.32,Engraulis encrasicolus,European anchovy,NA,Bmsy,1.47,2023,15_11_2023,new
Black Sea,ANE,29,1977,NA,919094.84,228990.95,0.24,spict,https://www.fao.org/gfcm/data/star/en/,GFCM,Fmsy,ANE_29,NA,0.52,NA,NA,228990.95,919094.84,Engraulis encrasicolus,European anchovy,NA,Bmsy,1.43,2023,15_11_2023,new
Black Sea,ANE,29,1978,NA,949984.35,241820.65,0.26,spict,https://www.fao.org/gfcm/data/star/en/,GFCM,Fmsy,ANE_29,NA,0.56,NA,NA,241820.65,949984.35,Engraulis encrasicolus,European anchovy,NA,Bmsy,1.48,2023,15_11_2023,new
Black Sea,ANE,29,1979,NA,969340.72,265231.92,0.3,spict,https://www.fao.org/gfcm/data/star/en/,GFCM,Fmsy,ANE_29,NA,0.65,NA,NA,265231.92,969340.72,Engraulis encrasicolus,European anchovy,NA,Bmsy,1.51,2023,15_11_2023,new
