Year,StockKeyLabel,F,SSB,FishingPressureDescription,StockSizeDescription,Landings,Catches,Discards,AssessmentYear,Flim,Fpa,Bpa,Blim,FMSY,MSYBtrigger,Ecoregion,landings,F/FMSy,B/BMSY
1987,bll.27.22-32,NA,NA,F,A_index,15,NA,NA,2023,NA,NA,NA,NA,NA,NA,Baltic Sea,NA,,
1973,bll.27.22-32,NA,NA,F,A_index,13,NA,NA,2023,NA,NA,NA,NA,NA,NA,Baltic Sea,NA,,
1986,bll.27.22-32,NA,NA,F,A_index,18,NA,NA,2023,NA,NA,NA,NA,NA,NA,Baltic Sea,NA,,
1971,bll.27.22-32,NA,NA,F,A_index,3,NA,NA,2023,NA,NA,NA,NA,NA,NA,Baltic Sea,NA,,
1983,bll.27.22-32,NA,NA,F,A_index,55,NA,NA,2023,NA,NA,NA,NA,NA,NA,Baltic Sea,NA,,
1988,bll.27.22-32,NA,NA,F,A_index,6,NA,NA,2023,NA,NA,NA,NA,NA,NA,Baltic Sea,NA,,
1989,bll.27.22-32,NA,NA,F,A_index,10,NA,NA,2023,NA,NA,NA,NA,NA,NA,Baltic Sea,NA,,
1972,bll.27.22-32,NA,NA,F,A_index,7,NA,NA,2023,NA,NA,NA,NA,NA,NA,Baltic Sea,NA,,
1998,bll.27.22-32,NA,NA,F,A_index,22,NA,NA,2023,NA,NA,NA,NA,NA,NA,Baltic Sea,NA,,
1984,bll.27.22-32,NA,NA,F,A_index,15,NA,NA,2023,NA,NA,NA,NA,NA,NA,Baltic Sea,NA,,
1985,bll.27.22-32,NA,NA,F,A_index,17,NA,NA,2023,NA,NA,NA,NA,NA,NA,Baltic Sea,NA,,
1997,bll.27.22-32,NA,NA,F,A_index,26,NA,NA,2023,NA,NA,NA,NA,NA,NA,Baltic Sea,NA,,
1990,bll.27.22-32,NA,NA,F,A_index,1,NA,NA,2023,NA,NA,NA,NA,NA,NA,Baltic Sea,NA,,
1999,bll.27.22-32,NA,NA,F,A_index,25,NA,NA,2023,NA,NA,NA,NA,NA,NA,Baltic Sea,NA,,
1974,bll.27.22-32,NA,NA,F,A_index,26,NA,NA,2023,NA,NA,NA,NA,NA,NA,Baltic Sea,NA,,
1975,bll.27.22-32,NA,NA,F,A_index,40,NA,NA,2023,NA,NA,NA,NA,NA,NA,Baltic Sea,NA,,
1982,bll.27.22-32,NA,NA,F,A_index,36,NA,NA,2023,NA,NA,NA,NA,NA,NA,Baltic Sea,NA,,
2022,bll.27.22-32,NA,0.67,F,A_index,40,NA,2,2023,NA,NA,NA,NA,NA,NA,Baltic Sea,NA,,
1995,bll.27.22-32,NA,NA,F,A_index,160,NA,NA,2023,NA,NA,NA,NA,NA,NA,Baltic Sea,NA,,
1996,bll.27.22-32,NA,NA,F,A_index,62,NA,NA,2023,NA,NA,NA,NA,NA,NA,Baltic Sea,NA,,
1970,bll.27.22-32,NA,NA,F,A_index,4,NA,NA,2023,NA,NA,NA,NA,NA,NA,Baltic Sea,NA,,
2011,bll.27.22-32,NA,0.82,F,A_index,57,NA,NA,2023,NA,NA,NA,NA,NA,NA,Baltic Sea,NA,,
2012,bll.27.22-32,NA,0.41,F,A_index,31,NA,0,2023,NA,NA,NA,NA,NA,NA,Baltic Sea,NA,,
2000,bll.27.22-32,NA,NA,F,A_index,28,NA,NA,2023,NA,NA,NA,NA,NA,NA,Baltic Sea,NA,,
2001,bll.27.22-32,NA,0.16,F,A_index,19,NA,NA,2023,NA,NA,NA,NA,NA,NA,Baltic Sea,NA,,
1976,bll.27.22-32,NA,NA,F,A_index,48,NA,NA,2023,NA,NA,NA,NA,NA,NA,Baltic Sea,NA,,
1977,bll.27.22-32,NA,NA,F,A_index,67,NA,NA,2023,NA,NA,NA,NA,NA,NA,Baltic Sea,NA,,
1978,bll.27.22-32,NA,NA,F,A_index,40,NA,NA,2023,NA,NA,NA,NA,NA,NA,Baltic Sea,NA,,
1979,bll.27.22-32,NA,NA,F,A_index,30,NA,NA,2023,NA,NA,NA,NA,NA,NA,Baltic Sea,NA,,
1980,bll.27.22-32,NA,NA,F,A_index,26,NA,NA,2023,NA,NA,NA,NA,NA,NA,Baltic Sea,NA,,
1981,bll.27.22-32,NA,NA,F,A_index,23,NA,NA,2023,NA,NA,NA,NA,NA,NA,Baltic Sea,NA,,
2021,bll.27.22-32,NA,0.64,F,A_index,53,NA,2,2023,NA,NA,NA,NA,NA,NA,Baltic Sea,NA,,
2006,bll.27.22-32,NA,0.63,F,A_index,56,NA,NA,2023,NA,NA,NA,NA,NA,NA,Baltic Sea,NA,,
2007,bll.27.22-32,NA,0.58,F,A_index,56,NA,NA,2023,NA,NA,NA,NA,NA,NA,Baltic Sea,NA,,
2008,bll.27.22-32,NA,0.63,F,A_index,105,NA,NA,2023,NA,NA,NA,NA,NA,NA,Baltic Sea,NA,,
2009,bll.27.22-32,NA,0.55,F,A_index,92,NA,NA,2023,NA,NA,NA,NA,NA,NA,Baltic Sea,NA,,
2013,bll.27.22-32,NA,0.35,F,A_index,31,NA,0,2023,NA,NA,NA,NA,NA,NA,Baltic Sea,NA,,
2014,bll.27.22-32,NA,0.59,F,A_index,28,NA,4,2023,NA,NA,NA,NA,NA,NA,Baltic Sea,NA,,
2015,bll.27.22-32,NA,0.44,F,A_index,40,NA,0,2023,NA,NA,NA,NA,NA,NA,Baltic Sea,NA,,
2016,bll.27.22-32,NA,0.41,F,A_index,39,NA,0,2023,NA,NA,NA,NA,NA,NA,Baltic Sea,NA,,
1991,bll.27.22-32,NA,NA,F,A_index,15,NA,NA,2023,NA,NA,NA,NA,NA,NA,Baltic Sea,NA,,
1992,bll.27.22-32,NA,NA,F,A_index,28,NA,NA,2023,NA,NA,NA,NA,NA,NA,Baltic Sea,NA,,
1993,bll.27.22-32,NA,NA,F,A_index,35,NA,NA,2023,NA,NA,NA,NA,NA,NA,Baltic Sea,NA,,
1994,bll.27.22-32,NA,NA,F,A_index,63,NA,NA,2023,NA,NA,NA,NA,NA,NA,Baltic Sea,NA,,
2005,bll.27.22-32,NA,0.49,F,A_index,62,NA,NA,2023,NA,NA,NA,NA,NA,NA,Baltic Sea,NA,,
2010,bll.27.22-32,NA,0.87,F,A_index,82,NA,NA,2023,NA,NA,NA,NA,NA,NA,Baltic Sea,NA,,
2018,bll.27.22-32,NA,0.69,F,A_index,57,NA,3,2023,NA,NA,NA,NA,NA,NA,Baltic Sea,NA,,
2019,bll.27.22-32,NA,0.92,F,A_index,63,NA,9,2023,NA,NA,NA,NA,NA,NA,Baltic Sea,NA,,
2020,bll.27.22-32,NA,0.67,F,A_index,69,NA,6,2023,NA,NA,NA,NA,NA,NA,Baltic Sea,NA,,
2017,bll.27.22-32,NA,0.62,F,A_index,49,NA,9,2023,NA,NA,NA,NA,NA,NA,Baltic Sea,NA,,
2002,bll.27.22-32,NA,0.19,F,A_index,27,NA,NA,2023,NA,NA,NA,NA,NA,NA,Baltic Sea,NA,,
2003,bll.27.22-32,NA,0.27,F,A_index,36,NA,NA,2023,NA,NA,NA,NA,NA,NA,Baltic Sea,NA,,
2004,bll.27.22-32,NA,0.66,F,A_index,41,NA,NA,2023,NA,NA,NA,NA,NA,NA,Baltic Sea,NA,,
1997,bwp.27.2729-32,NA,NA,F,B_index,406,NA,NA,2022,NA,NA,NA,NA,NA,NA,Baltic Sea,NA,,
2001,bwp.27.2729-32,NA,1.338,F,B_index,503,NA,NA,2022,NA,NA,NA,NA,NA,NA,Baltic Sea,NA,,
1998,bwp.27.2729-32,NA,NA,F,B_index,397,NA,NA,2022,NA,NA,NA,NA,NA,NA,Baltic Sea,NA,,
1999,bwp.27.2729-32,NA,NA,F,B_index,406,NA,NA,2022,NA,NA,NA,NA,NA,NA,Baltic Sea,NA,,
2000,bwp.27.2729-32,NA,2.01,F,B_index,422,NA,NA,2022,NA,NA,NA,NA,NA,NA,Baltic Sea,NA,,
1995,bwp.27.2729-32,NA,NA,F,B_index,258,NA,NA,2022,NA,NA,NA,NA,NA,NA,Baltic Sea,NA,,
2019,bwp.27.2729-32,NA,1.071,F,B_index,121,NA,NA,2022,NA,NA,NA,NA,NA,NA,Baltic Sea,NA,,
1992,bwp.27.2729-32,NA,NA,F,B_index,245,NA,NA,2022,NA,NA,NA,NA,NA,NA,Baltic Sea,NA,,
1996,bwp.27.2729-32,NA,NA,F,B_index,450,NA,NA,2022,NA,NA,NA,NA,NA,NA,Baltic Sea,NA,,
1981,bwp.27.2729-32,NA,NA,F,B_index,1656,NA,NA,2022,NA,NA,NA,NA,NA,NA,Baltic Sea,NA,,
1982,bwp.27.2729-32,NA,NA,F,B_index,1854,NA,NA,2022,NA,NA,NA,NA,NA,NA,Baltic Sea,NA,,
2002,bwp.27.2729-32,NA,0.626,F,B_index,523,NA,NA,2022,NA,NA,NA,NA,NA,NA,Baltic Sea,NA,,
2009,bwp.27.2729-32,NA,0.713,F,B_index,262,NA,NA,2022,NA,NA,NA,NA,NA,NA,Baltic Sea,NA,,
2006,bwp.27.2729-32,NA,1.044,F,B_index,344,NA,NA,2022,NA,NA,NA,NA,NA,NA,Baltic Sea,NA,,
1994,bwp.27.2729-32,NA,NA,F,B_index,129,NA,NA,2022,NA,NA,NA,NA,NA,NA,Baltic Sea,NA,,
2013,bwp.27.2729-32,NA,1.218,F,B_index,234,NA,NA,2022,NA,NA,NA,NA,NA,NA,Baltic Sea,NA,,
2003,bwp.27.2729-32,NA,1.602,F,B_index,374,NA,NA,2022,NA,NA,NA,NA,NA,NA,Baltic Sea,NA,,
2008,bwp.27.2729-32,NA,1.8,F,B_index,249,NA,NA,2022,NA,NA,NA,NA,NA,NA,Baltic Sea,NA,,
1983,bwp.27.2729-32,NA,NA,F,B_index,1870,NA,NA,2022,NA,NA,NA,NA,NA,NA,Baltic Sea,NA,,
2005,bwp.27.2729-32,NA,1.029,F,B_index,330,NA,NA,2022,NA,NA,NA,NA,NA,NA,Baltic Sea,NA,,
1980,bwp.27.2729-32,NA,NA,F,B_index,1519,NA,NA,2022,NA,NA,NA,NA,NA,NA,Baltic Sea,NA,,
1991,bwp.27.2729-32,NA,NA,F,B_index,349,NA,NA,2022,NA,NA,NA,NA,NA,NA,Baltic Sea,NA,,
1993,bwp.27.2729-32,NA,NA,F,B_index,307,NA,NA,2022,NA,NA,NA,NA,NA,NA,Baltic Sea,NA,,
